country,powertrain,year,value
Australia,Publicly available fast,2017,40.0
Australia,Publicly available slow,2017,440.0
Australia,Publicly available fast,2018,61.0
Australia,Publicly available slow,2018,670.0
Australia,Publicly available slow,2019,1700.0
Australia,Publicly available slow,2020,2300.0
Australia,Publicly available fast,2021,320.0
Australia,Publicly available slow,2021,2000.0
Austria,Publicly available fast,2011,0.1000000015
Austria,Publicly available slow,2011,0.1000000015
Austria,Publicly available fast,2012,0.1000000015
Austria,Publicly available slow,2012,0.1000000015
Austria,Publicly available fast,2013,0.1000000015
Austria,Publicly available slow,2013,0.1000000015
Austria,Publicly available fast,2014,0.1000000015
Austria,Publicly available slow,2014,0.1000000015
Austria,Publicly available fast,2015,0.1000000015
Austria,Publicly available slow,2015,0.1000000015
Austria,Publicly available fast,2016,0.1000000015
Austria,Publicly available slow,2016,0.1000000015
Austria,Publicly available fast,2017,0.1000000015
Austria,Publicly available slow,2017,0.1000000015
Austria,Publicly available fast,2018,0.1000000015
Austria,Publicly available slow,2018,0.1000000015
Austria,Publicly available fast,2019,0.1000000015
Austria,Publicly available slow,2019,0.1000000015
Austria,Publicly available fast,2020,0.1000000015
Austria,Publicly available slow,2020,0.1000000015
Austria,Publicly available fast,2021,1600.0
Austria,Publicly available slow,2021,8900.0
Belgium,Publicly available fast,2013,47.0
Belgium,Publicly available slow,2013,330.0
Belgium,Publicly available fast,2014,55.0
Belgium,Publicly available slow,2014,560.0
Belgium,Publicly available fast,2015,77.0
Belgium,Publicly available slow,2015,1300.0
Belgium,Publicly available fast,2016,110.0
Belgium,Publicly available slow,2016,1500.0
Belgium,Publicly available fast,2017,220.0
Belgium,Publicly available slow,2017,1500.0
Belgium,Publicly available fast,2018,240.0
Belgium,Publicly available slow,2018,2700.0
Belgium,Publicly available fast,2019,360.0
Belgium,Publicly available slow,2019,6100.0
Belgium,Publicly available fast,2020,480.0
Belgium,Publicly available slow,2020,8000.0
Belgium,Publicly available fast,2021,790.0
Belgium,Publicly available slow,2021,12000.0
Brazil,Publicly available fast,2018,4.900000095
Brazil,Publicly available slow,2018,26.0
Brazil,Publicly available fast,2019,4.900000095
Brazil,Publicly available slow,2019,220.0
Brazil,Publicly available fast,2020,4.900000095
Brazil,Publicly available slow,2020,400.0
Brazil,Publicly available fast,2021,4.900000095
Brazil,Publicly available slow,2021,800.0
Canada,Publicly available fast,2012,2.0
Canada,Publicly available slow,2012,720.0
Canada,Publicly available fast,2013,7.0
Canada,Publicly available slow,2013,1200.0
Canada,Publicly available fast,2014,55.0
Canada,Publicly available slow,2014,2300.0
Canada,Publicly available fast,2015,63.0
Canada,Publicly available slow,2015,3400.0
Canada,Publicly available fast,2016,140.0
Canada,Publicly available slow,2016,3900.0
Canada,Publicly available fast,2017,670.0
Canada,Publicly available slow,2017,5200.0
Canada,Publicly available fast,2018,840.0
Canada,Publicly available slow,2018,7100.0
Canada,Publicly available fast,2019,980.0
Canada,Publicly available slow,2019,8000.0
Canada,Publicly available fast,2020,2300.0
Canada,Publicly available slow,2020,11000.0
Canada,Publicly available fast,2021,3100.0
Canada,Publicly available slow,2021,12000.0
Chile,Publicly available fast,2011,1.0
Chile,Publicly available slow,2011,1.0
Chile,Publicly available fast,2012,4.0
Chile,Publicly available slow,2012,6.0
Chile,Publicly available fast,2013,5.0
Chile,Publicly available slow,2013,8.0
Chile,Publicly available fast,2014,5.0
Chile,Publicly available slow,2014,13.0
Chile,Publicly available fast,2015,5.0
Chile,Publicly available slow,2015,22.0
Chile,Publicly available fast,2016,5.0
Chile,Publicly available slow,2016,22.0
Chile,Publicly available fast,2017,6.0
Chile,Publicly available slow,2017,35.0
Chile,Publicly available fast,2018,8.0
Chile,Publicly available slow,2018,61.0
Chile,Publicly available fast,2019,42.0
Chile,Publicly available slow,2019,130.0
Chile,Publicly available fast,2020,99.0
Chile,Publicly available slow,2020,240.0
Chile,Publicly available fast,2021,120.0
Chile,Publicly available slow,2021,360.0
China,Publicly available fast,2014,9000.0
China,Publicly available slow,2014,21000.0
China,Publicly available fast,2015,12000.0
China,Publicly available slow,2015,47000.0
China,Publicly available fast,2016,55000.0
China,Publicly available slow,2016,86000.0
China,Publicly available fast,2017,83000.0
China,Publicly available slow,2017,130000.0
China,Publicly available fast,2018,110000.0
China,Publicly available slow,2018,160000.0
China,Publicly available fast,2019,210000.0
China,Publicly available slow,2019,300000.0
China,Publicly available fast,2020,310000.0
China,Publicly available slow,2020,500000.0
China,Publicly available fast,2021,470000.0
China,Publicly available slow,2021,680000.0
Denmark,Publicly available fast,2012,3.0
Denmark,Publicly available slow,2012,900.0
Denmark,Publicly available fast,2013,56.0
Denmark,Publicly available slow,2013,990.0
Denmark,Publicly available fast,2014,120.0
Denmark,Publicly available slow,2014,1600.0
Denmark,Publicly available fast,2015,270.0
Denmark,Publicly available slow,2015,2100.0
Denmark,Publicly available fast,2016,310.0
Denmark,Publicly available slow,2016,4200.0
Denmark,Publicly available fast,2017,370.0
Denmark,Publicly available slow,2017,4200.0
Denmark,Publicly available fast,2018,390.0
Denmark,Publicly available slow,2018,4300.0
Denmark,Publicly available fast,2019,450.0
Denmark,Publicly available slow,2019,4500.0
Denmark,Publicly available fast,2020,560.0
Denmark,Publicly available slow,2020,5400.0
Denmark,Publicly available fast,2021,240.0
Denmark,Publicly available slow,2021,7000.0
EU27,Publicly available slow,2010,7300.0
EU27,Publicly available slow,2011,1500.0
EU27,Publicly available fast,2011,6.099999905
EU27,Publicly available fast,2012,59.0
EU27,Publicly available slow,2012,8900.0
EU27,Publicly available slow,2013,15000.0
EU27,Publicly available fast,2013,400.0
EU27,Publicly available fast,2014,690.0
EU27,Publicly available slow,2014,23000.0
EU27,Publicly available slow,2015,42000.0
EU27,Publicly available fast,2015,2100.0
EU27,Publicly available fast,2016,3100.0
EU27,Publicly available slow,2016,72000.0
EU27,Publicly available slow,2017,81000.0
EU27,Publicly available fast,2017,5600.0
EU27,Publicly available fast,2018,8600.0
EU27,Publicly available slow,2018,98000.0
EU27,Publicly available slow,2019,140000.0
