country,year,Total_Sales,Total_Stocks,BEV_Sales,BEV_Stock,PHEV_Stock,PHEV_Sales,FCEV_Stock,FCEV_Sales,"Coal, Peat and Manufactured Gases (Net_Produce)",Combustible Renewables (Net_Produce),Electricity (Net_Produce),Geothermal (Net_Produce),Hydro (Net_Produce),Natural Gas (Net_Produce),Nuclear (Net_Produce),Oil and Petroleum Products (Net_Produce),Solar (Net_Produce),"Total Renewables (Hydro, Geo, Solar, Wind, Other) (Net_Produce)",Wind (Net_Produce),Electricity_Distrib_Loss,Electricity_Cons,Electricity_Exports,Electricity_Imports,Publicly available fast,Publicly available slow
Belgium,2013,0.1199999973,0.03299999982,500,1200,590,60,1,NA,4999.651,4831.994,80280.002,0,1691.999,20277.713,40567,152.149,2623.999,12745.991,3597.9990000000003,4007,84161.997,7603.001,17243.001,47,330
Belgium,2014,0.4099999964,0.06700000167,1300,2200,1500,650,2,NA,4121.247,4326.285,69817.6,0,1453.801,18686.05,31969.002,209.39,2865.201,13199.087,4553.8,3784.896,82087.699,4187.999,21790.999,55,560
Belgium,2015,0.7699999809,0.1299999952,1400,3300,3800,2500,8,2,3986.949,5396.208,67379.3,0,1387.4,21363.016,24824.998,202.611,3034.201,15308.409,5490.6,3815.599,83101.701,2715.001,23714.002,77,1300
Belgium,2016,1.700000048,0.2800000012,2100,5200,11000,7100,20,7,2562.2012,5217.9792,82402.79980000001,0,1452.9999,21431.0488,41430,183.6594,3073.0998,15068.3794,5324.3001,3927.0999,83183.7,8465.0002,14648,110,1500
Belgium,2017,2.5999999049999998,0.5299999714,2700,7500,23000,12000,31,11,2337.5396,5505.6049,83125.3001,0,1360.9,22184.0708,40128.5,169.6522,3284.4,16550.0046,6399.1,3895.3,83766.1999,8167.7999,14189.4,220,1500
Belgium,2018,2.4000000950000002,0.7400000095,3600,11000,33000,9600,44,13,2255.2719,5211.9982,72070.6,0,1293.4999,23064.9843,27126.299899999998,154.6604,3876.0999,17799.8982,7418.3002,3827.3999,84222.7999,4308.4,21635.8999,240,2700
Belgium,2019,3.200000048,1,8800,19000,41000,8900,41,12,2426.7813,4990.9351,89940.0001,0,1150.6000000000001,24627.5483,41305.6,68.3968,4222.8999,19943.5352,9579.0999,3631.9001,83291.3,14589.000100000001,12734.4,360,6100
Belgium,2020,11,1.799999952,15000,32000,73000,32000,64,4,1811.5928,5084.7363,86123.9001,0,1279,25842.633,32605.8,115.7159,5075.8000999999995,24090.136599999998,12650.5999,3497.6,80897.5,14054.800000000001,13721.9001,480,8000
Belgium,2021,18,2.9000000950000002,23000,52000,120000,48000,85,21,1953.8461,4519.1543,96625.1001,0,1316.5,21692.3067,47891.7,174.1805,5577.9998,23237.0543,11823.3999,3606.2,83912.4001,23070.1,15193.6002,790,12000
Canada,2012,0.1400000006,0.01300000027,620,830,1600,1300,5,NA,60190.383,9449.492,614737.0009999999,0,376575,57324.11,89491.99799999999,6810.249,871.999,398121.491,11198,50312.001,517277.998,57864.999,10928.001,2,720
