,region,category,parameter,mode,powertrain,year,unit,value
0,Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40
1,Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440
2,Australia,Historical,EV charging points,EV,Publicly available fast,2018,charging points,61
3,Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670
4,Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700
5,Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300
6,Australia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,320
7,Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000
12,Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.1000000015
13,Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.1000000015
14,Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.1000000015
15,Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.1000000015
16,Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.1000000015
17,Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.1000000015
18,Austria,Historical,EV charging points,EV,Publicly available fast,2014,charging points,0.1000000015
19,Austria,Historical,EV charging points,EV,Publicly available slow,2014,charging points,0.1000000015
20,Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.1000000015
21,Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.1000000015
22,Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.1000000015
23,Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.1000000015
24,Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.1000000015
25,Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.1000000015
26,Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.1000000015
27,Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.1000000015
28,Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.1000000015
29,Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.1000000015
30,Austria,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.1000000015
31,Austria,Historical,EV charging points,EV,Publicly available slow,2020,charging points,0.1000000015
32,Austria,Historical,EV charging points,EV,Publicly available fast,2021,charging points,1600
33,Austria,Historical,EV charging points,EV,Publicly available slow,2021,charging points,8900
38,Belgium,Historical,EV charging points,EV,Publicly available fast,2013,charging points,47
39,Belgium,Historical,EV charging points,EV,Publicly available slow,2013,charging points,330
40,Belgium,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
41,Belgium,Historical,EV charging points,EV,Publicly available slow,2014,charging points,560
42,Belgium,Historical,EV charging points,EV,Publicly available fast,2015,charging points,77
43,Belgium,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1300
44,Belgium,Historical,EV charging points,EV,Publicly available fast,2016,charging points,110
45,Belgium,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1500
46,Belgium,Historical,EV charging points,EV,Publicly available fast,2017,charging points,220
47,Belgium,Historical,EV charging points,EV,Publicly available slow,2017,charging points,1500
48,Belgium,Historical,EV charging points,EV,Publicly available fast,2018,charging points,240
49,Belgium,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2700
50,Belgium,Historical,EV charging points,EV,Publicly available fast,2019,charging points,360
51,Belgium,Historical,EV charging points,EV,Publicly available slow,2019,charging points,6100
52,Belgium,Historical,EV charging points,EV,Publicly available fast,2020,charging points,480
53,Belgium,Historical,EV charging points,EV,Publicly available slow,2020,charging points,8000
54,Belgium,Historical,EV charging points,EV,Publicly available fast,2021,charging points,790
55,Belgium,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
60,Brazil,Historical,EV charging points,EV,Publicly available fast,2018,charging points,4.900000095
61,Brazil,Historical,EV charging points,EV,Publicly available slow,2018,charging points,26
62,Brazil,Historical,EV charging points,EV,Publicly available fast,2019,charging points,4.900000095
63,Brazil,Historical,EV charging points,EV,Publicly available slow,2019,charging points,220
64,Brazil,Historical,EV charging points,EV,Publicly available fast,2020,charging points,4.900000095
65,Brazil,Historical,EV charging points,EV,Publicly available slow,2020,charging points,400
66,Brazil,Historical,EV charging points,EV,Publicly available fast,2021,charging points,4.900000095
67,Brazil,Historical,EV charging points,EV,Publicly available slow,2021,charging points,800
72,Canada,Historical,EV charging points,EV,Publicly available fast,2012,charging points,2
73,Canada,Historical,EV charging points,EV,Publicly available slow,2012,charging points,720
74,Canada,Historical,EV charging points,EV,Publicly available fast,2013,charging points,7
75,Canada,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1200
76,Canada,Historical,EV charging points,EV,Publicly available fast,2014,charging points,55
77,Canada,Historical,EV charging points,EV,Publicly available slow,2014,charging points,2300
78,Canada,Historical,EV charging points,EV,Publicly available fast,2015,charging points,63
79,Canada,Historical,EV charging points,EV,Publicly available slow,2015,charging points,3400
80,Canada,Historical,EV charging points,EV,Publicly available fast,2016,charging points,140
81,Canada,Historical,EV charging points,EV,Publicly available slow,2016,charging points,3900
82,Canada,Historical,EV charging points,EV,Publicly available fast,2017,charging points,670
83,Canada,Historical,EV charging points,EV,Publicly available slow,2017,charging points,5200
84,Canada,Historical,EV charging points,EV,Publicly available fast,2018,charging points,840
85,Canada,Historical,EV charging points,EV,Publicly available slow,2018,charging points,7100
86,Canada,Historical,EV charging points,EV,Publicly available fast,2019,charging points,980
87,Canada,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8000
88,Canada,Historical,EV charging points,EV,Publicly available fast,2020,charging points,2300
89,Canada,Historical,EV charging points,EV,Publicly available slow,2020,charging points,11000
90,Canada,Historical,EV charging points,EV,Publicly available fast,2021,charging points,3100
91,Canada,Historical,EV charging points,EV,Publicly available slow,2021,charging points,12000
96,Chile,Historical,EV charging points,EV,Publicly available fast,2011,charging points,1
97,Chile,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1
98,Chile,Historical,EV charging points,EV,Publicly available fast,2012,charging points,4
99,Chile,Historical,EV charging points,EV,Publicly available slow,2012,charging points,6
100,Chile,Historical,EV charging points,EV,Publicly available fast,2013,charging points,5
101,Chile,Historical,EV charging points,EV,Publicly available slow,2013,charging points,8
102,Chile,Historical,EV charging points,EV,Publicly available fast,2014,charging points,5
103,Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
104,Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
