,region,category,parameter,mode,powertrain,year,unit,value
0,Australia,Historical,EV sales share,Cars,EV,2011,percent,0.006500000134
1,Australia,Historical,EV stock share,Cars,EV,2011,percent,0.0003900000011
2,Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
3,Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49
4,Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220
5,Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
6,Australia,Historical,EV stock share,Cars,EV,2012,percent,0.002400000114
7,Australia,Historical,EV sales share,Cars,EV,2012,percent,0.02999999933
8,Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80
9,Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80
10,Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100
11,Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180
12,Australia,Historical,EV sales share,Cars,EV,2013,percent,0.03400000185
13,Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102
14,Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190
15,Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410
16,Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780
17,Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370
18,Australia,Historical,EV stock share,Cars,EV,2014,percent,0.01400000043
19,Australia,Historical,EV sales share,Cars,EV,2014,percent,0.1599999964
20,Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100
21,Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950
22,Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000
23,Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100
24,Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000003
25,Australia,Historical,EV stock share,Cars,EV,2015,percent,0.0270000007
26,Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760
27,Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500
28,Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200
29,Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
30,Australia,Historical,EV stock share,Cars,EV,2016,percent,0.03700000048
31,Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000006
32,Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800
33,Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700
34,Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100
35,Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900
36,Australia,Historical,EV sales share,Cars,EV,2017,percent,0.2599999905
37,Australia,Historical,EV stock share,Cars,EV,2017,percent,0.05200000107
38,Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
39,Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400
40,Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200
41,Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
42,Australia,Historical,EV stock share,Cars,EV,2018,percent,0.07699999958
43,Australia,Historical,EV sales share,Cars,EV,2018,percent,0.4199999869
44,Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700
45,Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800
46,Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900
47,Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600
48,Australia,Historical,EV sales share,Cars,EV,2019,percent,1.200000048
49,Australia,Historical,EV stock share,Cars,EV,2019,percent,0.1400000006
50,Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
51,Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000
52,Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000
53,Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
